City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,91.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
2,Butaritari,KI,81.99,few clouds,3.0707,172.7902,Isles Sunset Lodge
7,Hithadhoo,MV,80.19,moderate rain,-0.6,73.0833,Scoop Guest House
9,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
11,Avarua,CK,87.85,scattered clouds,-21.2078,-159.775,Paradise Inn
12,Arraial Do Cabo,BR,72.93,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
13,Sur,OM,87.39,clear sky,22.5667,59.5289,Sur Plaza Hotel
15,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
19,Altamira,BR,72.86,light rain,-3.2033,-52.2064,Requinte Hotel
22,Fare,PF,82.06,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
23,Guiratinga,BR,71.15,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
24,Khartoum,SD,90.68,broken clouds,15.5518,32.5324,Hotel China
25,Santa Rosa,PH,86.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
28,Inirida,CO,73.54,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
32,Rikitea,PF,76.21,broken clouds,-23.1203,-134.9692,People ThankYou
37,Marawi,PH,74.98,overcast clouds,7.9986,124.2928,Derogongan Residence
39,Anloga,GH,82.78,broken clouds,5.7947,0.8973,Pin Drop Hotel
45,Saint George,US,84.79,haze,37.1041,-113.5841,Best Western Plus Abbey Inn
49,Mahebourg,MU,72.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
53,Kavieng,PG,85.46,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
55,Nago,JP,76.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
59,Tura,IN,71.69,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
64,Sao Filipe,CV,72.34,clear sky,14.8961,-24.4956,Hotel Xaguate
65,Boundiali,CI,73.63,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
66,Jammalamadugu,IN,86.88,overcast clouds,14.8333,78.4,R and B Guest House
68,Cimarron Hills,US,75.34,few clouds,38.8586,-104.6989,"Holiday Inn Express & Suites Colorado Springs-First & Main, an IHG Hotel"
71,Puerto Ayora,EC,73.08,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
73,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
74,El Alto,PE,76.66,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
75,Victoria,HK,78.19,overcast clouds,22.2855,114.1577,Mini Hotel Central
87,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
94,Iberia,US,84.2,clear sky,29.9502,-91.7507,back to back rv park
97,Katherine,AU,75.52,clear sky,-14.4667,132.2667,Pine Tree Motel
98,Manokwari,ID,85.21,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
102,Mandera,KE,81.14,few clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
103,Bubaque,GW,76.8,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
104,Kimbe,PG,88.29,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
105,Bengkulu,ID,77.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
106,Soyo,AO,77.4,scattered clouds,-6.1349,12.3689,Hotel Mpampa
109,Atuona,PF,78.75,clear sky,-9.8,-139.0333,Villa Enata
114,Conceicao Do Araguaia,BR,75.97,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
116,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
117,Praia,CV,72.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
119,Port Blair,IN,78.84,thunderstorm with light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
128,Esna,EG,82.42,broken clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
130,Vanimo,PG,84.33,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
131,Barao De Melgaco,BR,74.19,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
133,Itarema,BR,77.14,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
138,Hirara,JP,76.86,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
153,Ishigaki,JP,77.13,light intensity shower rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
155,Faanui,PF,82.29,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
156,Elat,IL,74.43,broken clouds,29.5581,34.9482,Club Hotel Eilat
