City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Charters Towers,AU,2022-04-25 19:08:36,-20.1,146.2667,68.86,94,100,17.63
1,Jamestown,US,2022-04-25 18:54:27,42.097,-79.2353,78.44,44,100,13.8
2,Ulladulla,AU,2022-04-25 19:07:15,-35.35,150.4667,55.76,91,100,5.1
3,Chapais,CA,2022-04-25 19:08:36,49.7834,-74.8492,44.56,96,100,10.33
4,Paulinia,BR,2022-04-25 19:04:36,-22.7611,-47.1542,86.94,47,2,0.89
5,Vodnyy,RU,2022-04-25 19:08:37,63.5046,53.4095,33.96,91,100,2.86
6,Margate,GB,2022-04-25 19:03:11,51.3813,1.3862,49.1,82,75,8.99
7,Avarua,CK,2022-04-25 19:03:21,-21.2078,-159.775,77.05,94,100,5.75
8,Fairbanks,US,2022-04-25 19:01:28,64.8378,-147.7164,45.82,56,100,1.01
9,Butaritari,KI,2022-04-25 19:08:38,3.0707,172.7902,79.52,84,39,13.67
10,Itarema,BR,2022-04-25 19:05:50,-2.9248,-39.9167,82.11,80,31,11.54
11,Carnarvon,AU,2022-04-25 19:08:38,-24.8667,113.6333,64.47,94,0,5.75
12,Thompson,CA,2022-04-25 19:08:39,55.7435,-97.8558,24.39,53,80,6.44
13,Ushuaia,AR,2022-04-25 19:04:09,-54.8,-68.3,42.42,72,100,3.65
14,Ponta Do Sol,PT,2022-04-25 19:04:32,32.6667,-17.1,66.13,82,16,10.96
15,Atuona,PF,2022-04-25 19:08:39,-9.8,-139.0333,78.12,79,26,15.68
16,Lebu,CL,2022-04-25 18:58:32,-37.6167,-73.65,56.44,71,100,22.44
17,Mandera,KE,2022-04-25 18:59:19,3.9366,41.867,90.84,40,100,5.86
18,Saldanha,ZA,2022-04-25 19:00:41,-33.0117,17.9442,58.82,77,0,17.22
19,Arraial Do Cabo,BR,2022-04-25 19:04:29,-22.9661,-42.0278,78.66,65,20,9.22
20,Kruisfontein,ZA,2022-04-25 19:08:40,-34.0033,24.7314,56.88,84,4,6.2
21,Busselton,AU,2022-04-25 18:59:21,-33.65,115.3333,61.79,69,100,19.3
22,Cockburn Town,TC,2022-04-25 19:08:41,21.4612,-71.1419,78.04,65,87,15.66
23,Cape Town,ZA,2022-04-25 19:07:20,-33.9258,18.4232,60.91,70,0,8.99
24,Saskylakh,RU,2022-04-25 19:08:41,71.9167,114.0833,-7.82,100,100,3.8
25,East London,ZA,2022-04-25 18:59:20,-33.0153,27.9116,59.94,82,0,6.91
26,Henties Bay,NA,2022-04-25 19:08:42,-22.116,14.2845,63.09,67,0,7.05
27,Sidi Ali,DZ,2022-04-25 19:08:42,36.0998,0.4206,59.43,66,9,8.72
28,Port Alfred,ZA,2022-04-25 19:08:43,-33.5906,26.891,61.29,73,27,10.63
29,Hobart,AU,2022-04-25 18:59:30,-42.8794,147.3294,52.23,91,48,5.75
30,Rikitea,PF,2022-04-25 18:59:21,-23.1203,-134.9692,76.87,73,100,16.13
31,Hasaki,JP,2022-04-25 19:03:20,35.7333,140.8333,63.0,89,100,8.03
32,Shingu,JP,2022-04-25 19:07:28,33.7333,135.9833,64.29,90,100,1.92
33,Sabang,ID,2022-04-25 19:08:43,5.8933,95.3214,82.65,77,100,15.84
34,Port Blair,IN,2022-04-25 19:07:00,11.6667,92.75,83.1,71,7,1.63
35,Yiyang,CN,2022-04-25 19:08:44,28.5892,112.3283,68.07,95,36,5.48
